symbol,company,sector,source,fiscal_year,status,fcff_2025_m,fcff_2024_m,fcff_2023_m,ebit_m,dna_m,delta_nwc_m,capex_m,roic_nopat_m,ic_current_m,ic_prior_m,avg_ic_m,roic_pct,rf_pct,beta,erp_pct,ke_pct,interest_exp_m,icr,rating,spread_pct,kd_pretax_pct,kd_aftertax_pct,market_cap_b,total_debt_b,equity_weight_pct,debt_weight_pct,wacc_pct
AAA,Asia Amalgamated Holdings Corporation,Holding Firms,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
AB,"Atok-Big Wedge Co., Inc.",Mining and Oil,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
ABA,"AbaCore Capital Holdings, Inc.",Holding Firms,Reuters (ABA.PS),Reuters,OK,-702.5425,89.2425,168.3175,69.89,15.63,747.5,23.09,52.4175,13462.88,21620.43,17541.655,0.29881730087611463,7.706,1.0,6.69,14.396,1911.37,0.03656539550165588,D2/D,19.0,26.706000000000003,20.0295,1.4,0.23058,85.85901948999742,14.140980510002576,15.192632137030996
ABG,Asiabest Group International Inc.,Holding Firms,Reuters (ABG.PS),Reuters,PARTIAL,,,,,,,,,,,,,7.706,-1.43,6.69,-1.8606999999999998,6.68,,,,,,7.2,,100.0,,-1.8606999999999998
ABS,ABS-CBN Corporation,Services,Reuters (ABS.PS),Reuters,OK,12153.2975,8199.6725,11278.025,6028.05,1723.0,-6221.52,312.26,4521.0375,17441.92,23719.14,20580.53,21.967546511192857,7.706,0.32,6.69,9.8468,960.44,6.27634209320728,A1/A+,0.7000000000000001,8.406,6.3045,2.4,12.46791,16.14214775311392,83.85785224688608,6.876303299858555
ABSP,ABS-CBN Holdings Corporation,Services,Yahoo (ABSOF),2024-12-31,INCOMPLETE,,,,,,,,,,,,,7.706,,6.69,,,,,,,,0.056941132678,,100.0,,
AC,Ayala Corporation,Holding Firms,Yahoo (AYALY),2025-12-31,OK,38802.75175,12369.64575,7412.961,63992.741,17942.543,-11354.137,38488.484,47994.55575,1180897.38,1059198.995,1120048.1875,4.2850438298664715,7.706,0.524,6.69,11.21156,36550.795,1.750789305677209,B1/B+,2.75,10.456,7.8420000000000005,533.923684503552,736.136701,42.039236133789224,57.960763866210776,9.258537285069709
ACE,Acesite (Phils.) Hotel Corporation,Services,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
ACEN,ACEN Corporation,Industrial,Yahoo (ACPIF),2025-12-31,OK,-17019.83675,-27337.2045,-22969.4635,3614.059,3827.238,-1859.724,25417.343,2710.54425,310704.166,270398.005,290551.0855,0.9328976504546566,7.706,0.233,6.69,9.26477,4985.93,0.7248515322116436,Ca2/CC,12.61,20.316000000000003,15.237,49.302466148416,176.934986,21.79235386547434,78.20764613452566,13.935510504739982
ACR,"Alsons Consolidated Resources, Inc.",Industrial,Reuters (ACR.PS),Reuters,OK,2471.8175,2970.135,2377.6425,4874.37,1536.12,1270.02,1450.06,3655.7775,36883.86,34852.14,35868.0,10.192309300769487,7.706,0.14,6.69,8.6426,2009.62,2.42551825718295,Ba1/BB+,1.38,9.086,6.8145,4.8,24.49611,16.3844278301795,83.6155721698205,7.114023725163511
AEV,"Aboitiz Equity Ventures, Inc.",Holding Firms,Yahoo (ABTZY),2025-12-31,OK,-27774.58275,27593.8315,20910.3535,53749.647,17615.577,56073.725,29628.67,40312.23525,696386.441,605763.475,651074.958,6.191642721727903,7.706,0.516,6.69,11.15804,26846.358,2.0021206228420256,Ba2/BB,1.8399999999999999,9.546000000000001,7.1595,157.264752183808,493.660538,24.160184671792315,75.83981532820769,8.125554648175486
AGI,"Alliance Global Group, Inc.",Holding Firms,Yahoo (ALGGY),2025-12-31,OK,-27419.331614,29871.3493,30793.06102225,41306.938632,9887.428907,33434.802026,34852.162469,30980.203974,550524.735826,502319.196373,526421.9660995,5.88505153072286,7.706,0.272,6.69,9.52568,12024.335857,3.4352781827823824,A3/A-,0.89,8.596,6.447,71.51241459776001,274.57947233100003,20.662840505267383,79.33715949473262,7.083142738067566
ALCO,Arthaland Corporation,Property,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
ALHI,"Anchor Land Holdings, Inc.",Property,Reuters (ALHI.PS),Reuters,OK,-9449.68,1156.1475,783.8825,1321.16,146.2,9965.14,621.61,990.87,36450.34,32438.68,34444.51,2.876713879802616,7.706,-0.28,6.69,5.832800000000001,830.07,1.5916248027274809,B2/B,3.2099999999999995,10.916,8.187,4.7,28.44035,14.182107310272823,85.81789268972717,7.8531248297015575
ALI,"Ayala Land, Inc.",Property,Yahoo (AYAAY),2025-12-31,OK,42516.06725,49095.04775,45234.044,62429.095,10650.267,4358.888,10597.133,46821.82125,643005.799,578821.822,610913.8105,7.664227006372448,7.706,0.748,6.69,12.71012,16615.368,3.7573104008289198,A3/A-,0.89,8.596,6.447,220.71633424947203,336.717733,39.59505656669767,60.404943433302314,8.926885906840154
ALLDY,"AllDay Marts, Inc.",Services,Reuters (ALLDY.PS),Reuters,OK,-472.4,593.7775,51.9775,435.6,532.29,1233.84,97.55,326.7,8692.38,7856.0,8274.19,3.948422745912289,7.706,1.21,6.69,15.8009,63.28,6.883691529709229,Aa2/AA,0.5499999999999999,8.256,6.192,0.7543,3.0875700000000004,19.63366797939545,80.36633202060455,8.078579522472129
ALLHC,AyalaLand Logistics Holdings Corp.,Property,Reuters (ALLHC.PS),Reuters,OK,1001.5725,1167.115,868.12,1062.31,612.2,-1133.86,1541.22,796.7325,19728.13,18531.25,19129.69,4.164900215319746,7.706,1.22,6.69,15.867799999999999,701.0,1.5154208273894436,B2/B,3.2099999999999995,10.916,8.187,7.1,5.05187,58.427221489367476,41.57277851063252,12.674678028155336
ALTER,Alternergy Holdings Corporation,Industrial,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
ANI,"AgriNurture, Inc.",Industrial,Reuters (ANI.PS),Reuters,PARTIAL,,136.7175,93.2925,,,,,,,,,,7.706,0.04,6.69,7.9736,65.07,,,,,,0.5225,,100.0,,7.9736
ANS,A. Soriano Corporation,Holding Firms,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
AP,Aboitiz Power Corporation,Industrial,Yahoo (ABZPY),2025-12-31,PARTIAL,-39845.86225,21567.32275,20227.4105,39690.769,13295.514,54408.1,28501.353,29768.07675,474319.166,389673.322,431996.244,6.890818418782363,7.706,,6.69,,17595.361,2.255751899605811,Ba1/BB+,1.38,9.086,6.8145,287.893269000192,332.526886,46.402952367029876,53.59704763297013,
APC,"APC Group, Inc.",Services,Reuters (APC.PS),Reuters,PARTIAL,,,,,,,,,,,,,7.706,0.61,6.69,11.7869,0.81,,,,,,0.6979,,100.0,,11.7869
APL,"Apollo Global Capital, Inc.",Services,Reuters (APL.PS),Reuters,OK,31.0425,21.0925,11.575,21.31,5.55,-9.51,0.0,15.9825,3740.97,3807.45,3774.21,0.42346610284006453,7.706,0.06,6.69,8.1074,56.15,0.37951914514692786,C2/C,16.0,23.706,17.7795,1.9,0.12825,93.6768149882904,6.323185011709602,8.718984777517564
APO,Anglo Philippine Holdings Corporation,Holding Firms,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
APVI,"Altus Property Ventures, Inc.",Property,Reuters (APVI.PS),Reuters,OK,123.995,101.8025,119.17,151.98,13.32,-12.09,15.4,113.985,348.57,330.81,339.69,33.555594807029934,7.706,0.48,6.69,10.917200000000001,39.5,3.8475949367088607,A3/A-,0.89,8.596,6.447,1.0,,100.0,,10.917200000000001
APX,"Apex Mining Co., Inc.",Mining and Oil,Reuters (APX.PS),Reuters,OK,5161.3425,3082.04,2366.52,11255.11,1705.96,635.89,4350.06,8441.3325,29715.96,25621.51,27668.735,30.508559570938097,7.706,0.34,6.69,9.9806,594.4,18.935245625841183,Aaa/AAA,0.4,8.106,6.0795,102.8,6.5012,94.05203236560989,5.947967634390108,9.748563834614808
AR,Abra Mining and Industrial Corporation,Mining and Oil,,,NO DATA,,,,,,,,,,,,,7.706,,6.69,,,,,,,,,,,,
ARA,"Araneta Properties, Inc.",Property,Reuters (ARA.PS),Reuters,OK,-120.2475,367.545,22.685,138.75,1.92,226.19,0.04,104.0625,2220.3,1949.98,2085.14,4.990672089164277,7.706,0.13,6.69,8.5757,13.66,10.157393850658858,Aaa/AAA,0.4,8.106,6.0795,0.5464,,100.0,,8.5757
